success,Vmin,Vmax,Vmin_bus,Vmax_bus,Vdev_max,P_loss,P_grid,pv_bus,penetration,load_factor
1,0.931744412566952,1,18,1,0.0682555874330482,0.125129564944601,2.91137955836376,2,0.05,0.8
1,0.932368378154645,1,18,1,0.0676316218453553,0.121918832644011,2.90816882639859,3,0.05,0.8
1,0.932834913710911,1,18,1,0.0671650862890892,0.120247842386406,2.90649783639708,4,0.05,0.8
1,0.933324781308672,1,18,1,0.0666752186913283,0.118585753262134,2.90483574755029,5,0.05,0.8
1,0.934402312413319,1,18,1,0.0655976875866814,0.115024631611359,2.90127462664344,6,0.05,0.8
1,0.934654608612088,1,18,1,0.0653453913879121,0.114581447354226,2.90083144260763,7,0.05,0.8
1,0.935563179053545,1,18,1,0.0644368209464548,0.113373330145871,2.89962332561714,8,0.05,0.8
1,0.936883813202607,1,18,1,0.0631161867973929,0.112047280197305,2.89829727600932,9,0.05,0.8
1,0.93722690275604,1,33,1,0.0627730972439603,0.110840618793593,2.89709061491493,10,0.05,0.8
1,0.937230247823397,1,33,1,0.0627697521766029,0.110643637433219,2.89689363359059,11,0.05,0.8
1,0.937235976489185,1,33,1,0.0627640235108151,0.110306378293254,2.89655637451233,12,0.05,0.8
1,0.93725968009352,1,33,1,0.0627403199064798,0.109156490588833,2.89540648712773,13,0.05,0.8
1,0.937268498974285,1,33,1,0.0627315010257149,0.108798161994657,2.89504815868781,14,0.05,0.8
1,0.93727311413727,1,33,1,0.0627268858627303,0.108582627844599,2.89483262460351,15,0.05,0.8
1,0.937276438974217,1,33,1,0.0627235610257832,0.108417875281986,2.89466787207402,16,0.05,0.8
1,0.937279068238091,1,33,1,0.0627209317619091,0.108311626529811,2.89456162334062,17,0.05,0.8
1,0.937278150169467,1,33,1,0.0627218498305325,0.108356216429834,2.89460621321098,18,0.05,0.8
1,0.931744481861421,1,18,1,0.0682555181385793,0.125054077874257,2.91130407129344,19,0.05,0.8
1,0.931744876236812,1,18,1,0.068255123763188,0.124616568362734,2.91086656178379,20,0.05,0.8
1,0.931744924937723,1,18,1,0.0682550750622772,0.124567108194104,2.91081710161507,21,0.05,0.8
1,0.931744888963204,1,18,1,0.0682551110367957,0.124601949989391,2.91085194341036,22,0.05,0.8
1,0.932372205634242,1,18,1,0.0676277943657581,0.121184772075335,2.90743476584936,23,0.05,0.8
1,0.932379295946198,1,18,1,0.0676207040538025,0.119875234877621,2.9061252286894,24,0.05,0.8
1,0.932382278045178,1,18,1,0.0676177219548215,0.119323091240838,2.90557308506834,25,0.05,0.8
1,0.934409186155677,1,18,1,0.0655908138443232,0.114652175782828,2.90090217088959,26,0.05,0.8
1,0.934418132734028,1,18,1,0.0655818672659719,0.114167483286279,2.90041747848932,27,0.05,0.8
1,0.934454493566548,1,18,1,0.0655455064334517,0.112467568650555,2.89871756426038,28,0.05,0.8
1,0.934479777088487,1,18,1,0.0655202229115132,0.111280994931886,2.89753099077927,29,0.05,0.8
1,0.934490746435429,1,18,1,0.0655092535645707,0.110686981221869,2.89693697709737,30,0.05,0.8
1,0.934506528962995,1,18,1,0.0654934710370053,0.109975932990714,2.89622592914213,31,0.05,0.8
1,0.934509261230577,1,18,1,0.0654907387694235,0.109859749148073,2.89610974534526,32,0.05,0.8
1,0.934508007977173,1,18,1,0.0654919920228272,0.109907378599684,2.89615737474861,33,0.05,0.8
1,0.93185974110424,1,18,1,0.0681402588957598,0.124496173610019,2.72499616708643,2,0.1,0.8
1,0.93310644374353,1,18,1,0.0668935562564704,0.118304136993206,2.71880413111802,3,0.1,0.8
1,0.934037403362197,1,18,1,0.0659625966378035,0.115142604476484,2.71564259907251,4,0.1,0.8
1,0.935013796369992,1,18,1,0.0649862036300081,0.112015844564568,2.71251583964954,5,0.1,0.8
1,0.937156138155897,1,18,1,0.0628438618441025,0.10535877422138,2.70585877049541,6,0.1,0.8
1,0.937654189089673,1,18,1,0.0623458109103265,0.104586200938728,2.70508619751411,7,0.1,0.8
1,0.939456316775478,1,18,1,0.0605436832245222,0.102557352800981,2.70305734965802,8,0.1,0.8
1,0.939990349363852,1,33,1,0.0600096506361479,0.10047955568735,2.70097955291931,9,0.1,0.8
1,0.94002672479165,1,33,1,0.0599732752083504,0.0986606250294513,2.6991606225522,10,0.1,0.8
1,0.94003153394916,1,33,1,0.0599684660508399,0.0983769604304401,2.69887695798388,11,0.1,0.8
1,0.940039428020273,1,33,1,0.0599605719797272,0.0979115517312998,2.69841154933431,12,0.1,0.8
1,0.940069537284339,1,33,1,0.0599304627156606,0.0964516751540847,2.69695167295822,13,0.1,0.8
1,0.940079382538984,1,33,1,0.059920617461016,0.096052732154194,2.69655273003508,14,0.1,0.8
1,0.940081606846782,1,33,1,0.0599183931532185,0.0959489568326266,2.69644895471686,15,0.1,0.8
1,0.940080165567437,1,33,1,0.0599198344325627,0.0960205956091648,2.69652059346328,16,0.1,0.8
1,0.940068132915584,1,33,1,0.0599318670844164,0.0965049980085724,2.69700499570519,17,0.1,0.8
1,0.940058662037216,1,33,1,0.0599413379627837,0.096965320247378,2.69746531785586,18,0.1,0.8
1,0.93185981412196,1,18,1,0.0681401858780402,0.124416629917772,2.72491662339434,19,0.1,0.8
1,0.931860010459589,1,18,1,0.0681399895404106,0.124198868916628,2.72469886239406,20,0.1,0.8
1,0.931859932028416,1,18,1,0.0681400679715837,0.124278501542273,2.72477849501939,21,0.1,0.8
1,0.931859543890899,1,18,1,0.0681404561091007,0.124654216062943,2.72515420953852,22,0.1,0.8
